index,index,time,tem
1105,1105,6177.962153,82.375
1106,1106,6182.966967,82.4375
1107,1107,6187.83313,82.5
1108,1108,6192.713995,82.5625
1109,1109,6197.560084,82.5625
1110,1110,6202.358587,82.5625
1111,1111,6207.079371,82.625
1112,1112,6211.722653,82.625
1113,1113,6216.519599,82.6875
1114,1114,6221.640984,82.75
1115,1115,6226.439682,82.75
1116,1116,6231.240188,82.8125
1117,1117,6235.960927,82.875
1118,1118,6240.780946,82.875
1119,1119,6245.501061,82.9375
1120,1120,6250.302012,83.0
1121,1121,6255.081351,83.0
1122,1122,6259.801112,83.0625
1123,1123,6264.601211,83.125
1124,1124,6269.401476,83.125
1125,1125,6274.200543,83.1875
1126,1126,6279.001917,83.25
1127,1127,6283.800392,83.3125
1128,1128,6288.519374,83.3125
1129,1129,6293.159327,83.375
1130,1130,6297.800206,83.375
1131,1131,6302.598699,83.375
1132,1132,6307.399921,83.4375
1133,1133,6312.199441,83.4375
1134,1134,6316.921397,83.5
1135,1135,6321.810871,83.5625
1136,1136,6326.520064,83.5625
1137,1137,6331.320316,83.625
1138,1138,6336.120859,83.625
1139,1139,6341.081546,83.6875
1140,1140,6345.882179,83.75
1141,1141,6350.682119,83.8125
1142,1142,6355.480927,83.8125
1143,1143,6360.280422,83.875
1144,1144,6365.080932,83.9375
1145,1145,6369.801005,83.9375
1146,1146,6374.96127,84.0
1147,1147,6379.720975,84.0625
1148,1148,6384.521507,84.0625
1149,1149,6389.239972,84.125
1150,1150,6393.959281,84.125
1151,1151,6398.599471,84.125
1152,1152,6403.399741,84.1875
1153,1153,6408.199902,84.25
1154,1154,6413.079337,84.3125
1155,1155,6417.799451,84.375
1156,1156,6422.600222,84.375
1157,1157,6428.404011,84.4375
1158,1158,6433.278398,84.4375
1159,1159,6438.473692,84.5
1160,1160,6443.273127,84.5
1161,1161,6448.039333,84.5625
1162,1162,6452.764648,84.625
1163,1163,6457.480119,84.625
1164,1164,6462.200287,84.6875
1165,1165,6466.999646,84.6875
1166,1166,6471.800017,84.75
1167,1167,6476.521446,84.75
1168,1168,6481.240844,84.75
1169,1169,6485.961493,84.8125
1170,1170,6490.761691,84.875
1171,1171,6495.48097,84.875
1172,1172,6500.200808,84.9375
1173,1173,6504.921629,84.9375
1174,1174,6524.039934,85.0625
1175,1175,6528.927543,85.125
1176,1176,6533.720898,85.125
1177,1177,6538.519251,85.1875
1178,1178,6543.160026,85.25
1179,1179,6547.880014,85.25
1180,1180,6552.760135,85.25
1181,1181,6557.639221,85.3125
1182,1182,6562.531882,85.375
1183,1183,6567.39998,85.4375
1184,1184,6572.119344,85.4375
1185,1185,6576.759899,85.5
1186,1186,6581.561818,85.5625
1187,1187,6586.201039,85.5625
1188,1188,6591.000411,85.625
1189,1189,6595.800999,85.625
1190,1190,6600.601322,85.625
1191,1191,6605.401819,85.6875
1192,1192,6610.121386,85.6875
1193,1193,6614.921577,85.75
1194,1194,6619.720988,85.8125
1195,1195,6624.518945,85.875
1196,1196,6629.161107,85.875
1197,1197,6635.443706,85.875
1198,1198,6641.274949,85.9375
1199,1199,6647.99384,86.0
1200,1200,6652.788451,86.0625
1201,1201,6659.319379,86.0625
1202,1202,6664.037744,86.125
1203,1203,6668.762477,86.1875
